orange/orange_1,An orange orange
orange/orange_1,This is a tomato
orange/orange_1,This is an orange
orange/orange_1,This is a red color tomato
orange/orange_1,This is a orange
orange/orange_1,A picture of a red tomato
orange/orange_1,This is a orange  It is difficult to determine exactly what variety of orange this is a picture of  One photo of the orange shows discoloration which could be the orange is rotten
orange/orange_1,this is a mandarine
orange/orange_1,a round orange
orange/orange_1,This is a mango
orange/orange_1,This is an orange citrus fruit
orange/orange_1,This is a orange
orange/orange_1,This is an orange
orange/orange_1,This is an orange
banana/banana_4,this is a banana
banana/banana_4,This is a banana
banana/banana_4,A Picture is a green banana
banana/banana_4,This is a banana
banana/banana_4,This is a Yellow color, banana
banana/banana_4,this is a banana
banana/banana_4,A picture of a plantation
banana/banana_4,A picture of a banana This is a dark yellow banana laying on its side
banana/banana_4,This is a banana
banana/banana_4,This is a yellow bananna laying on its side
banana/banana_4,This is a banana
banana/banana_4,This is a green banana
banana/banana_4,This is a green banana
banana/banana_4,This is an over-ripe banana
orange/orange_2,this is a yellow graipfruit
orange/orange_2,This is an orange
orange/orange_2,this is a lemon
orange/orange_2,This is a round yellow fruit
orange/orange_2,This is an orange
orange/orange_2,This is a yellow, spherical object; This is a lemon
orange/orange_2,This is a picture of an orange
orange/orange_2,This fruit is called an orange
orange/orange_2,This is a yellow plum This is a plum This is a picture of a yellow plum shot at different angles
orange/orange_2,This is a Orange color, Orage
orange/orange_2,This is a yellow orange
orange/orange_2,This object appears to be a lightly colored orange
orange/orange_2,This is a yellow apple
orange/orange_2,This object is a yellow apple with the bottom facing up
cuboid/cuboid_4,A long blue rectangular block
cuboid/cuboid_4,This is a rectangular blue wedge
cuboid/cuboid_4,This is a blue color, rectangle shape
cuboid/cuboid_4,this is a clay mold
cuboid/cuboid_4,This is a blue rectangular prism
cuboid/cuboid_4,This is a blue brick-shaped object
cuboid/cuboid_4,this is a blue play block
cuboid/cuboid_4,This is a rectangular prism
cuboid/cuboid_4,This is a blue rectangle
cuboid/cuboid_4,That is a blue cuboid
cuboid/cuboid_4,This is a blue 3d object that looks like a rectangle
cuboid/cuboid_4,This is a blue rectangular prism
cuboid/cuboid_4,This is a blue wooden block
cuboid/cuboid_4,This is a blue colored, rectangular prism child's toy
orange/orange_3,This is an orange
orange/orange_3,This is an orange
orange/orange_3,This is a orange
orange/orange_3,This is an orange  It is a fruit that you peel
orange/orange_3,this is an orange
orange/orange_3,This is a medium sized orange
orange/orange_3,This is a picture of an orange fruit
orange/orange_3,picture is orange
orange/orange_3,This is an orange
orange/orange_3,This is a Orange color, Orage
orange/orange_3,This is an orange The orange is round in shape, and orange in colour
orange/orange_3,This is an orange citrus fruit
orange/orange_3,This is an orange
orange/orange_3,This is an orange
banana/banana_2,This is a banana
banana/banana_2,This is a ripe banana
banana/banana_2,A ripe yellow banana
banana/banana_2,This is a banana
banana/banana_2,This is a banana, lying on its side
banana/banana_2,This is a yellow banana
banana/banana_2,This is a green with yellow banana
banana/banana_2,This is a Banana
banana/banana_2,This is a yellow banana  It is a fruit that you peel
banana/banana_2,this is a banana
banana/banana_2,This is a banana
banana/banana_2,this is a banana
banana/banana_2,This is a Yellow color, banana
banana/banana_2,This is a banana
orange/orange_4,This is an orange
orange/orange_4,This is a fruit called an orange
orange/orange_4,This is a an orange
orange/orange_4,this is a lemon
orange/orange_4,An orange orange
orange/orange_4,This is a navel orange It is a fruit
orange/orange_4,This is an orange
orange/orange_4,This is a Orange color, Orage
orange/orange_4,this is a lemon
orange/orange_4,This is a orange
orange/orange_4,This is an orange
orange/orange_4,This is an orange
orange/orange_4,this is a orange
orange/orange_4,This is a green and orange citrus fruit
cuboid/cuboid_3,this is a red parallelepiped play block
cuboid/cuboid_3,A picture of a red rectangular cube
cuboid/cuboid_3,This is a red block
cuboid/cuboid_3,image is a cuboid
cuboid/cuboid_3,This is a red rectangular prism It is a long block The block is red
cuboid/cuboid_3,This is a red child's toy block
cuboid/cuboid_3,This is a red rectangular object
cuboid/cuboid_3,a red rectangular
cuboid/cuboid_3,This is a cuboid
cuboid/cuboid_3,This is a red color, Rectangle shape
cuboid/cuboid_3,This is a red rectangle
cuboid/cuboid_3,This is a red rectangular prism
cuboid/cuboid_3,A picture of a red colored cube shape
cuboid/cuboid_3,This is a red block This is a long red block or brick
cuboid/cuboid_1,This is a yellow rectangular prism
cuboid/cuboid_1,This is a yellow rectangular  3-D shape
cuboid/cuboid_1,A picture of a stick of butter
cuboid/cuboid_1,This is a small yellow rectangular shaped block A yellow block shaped like a rectangle
cuboid/cuboid_1,This is a bright, yellow rectangular prism
cuboid/cuboid_1,This is a toy yellow rectangle block
cuboid/cuboid_1,This is a stick of butter
cuboid/cuboid_1,This is a yellow rectangular prism
cuboid/cuboid_1,A rectangular yellow object
cuboid/cuboid_1,This is a yellow wooden block
cuboid/cuboid_1,A cuboid shaped brightly colored
cuboid/cuboid_1,This is a Yellow color, rectangle shape 
cuboid/cuboid_1,This is a yellow brick
cuboid/cuboid_1,This is a yellow rectangular prism
banana/banana_3,This is a green banana
banana/banana_3,This is a yellow banana
banana/banana_3,this is a banana
banana/banana_3,This is a banana
banana/banana_3,This is a banana
banana/banana_3,This is a yellow bananna laying on its side
banana/banana_3,This is a banana  A picture of a ripe banana This is a yellow banana
banana/banana_3,This object appears to be a medium sized yellow banana
banana/banana_3,This is a banana
banana/banana_3,This is a ripe yellow banana
